"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.82
0,"Lansing",1,500,1.5,1.3
1,"noLansing",1,1100,1.49850781818182,0.8167883
1,"Lansing",1,1145,1.50043179039301,1.29884399126638
2,"noLansing",1,1501,1.50390906062625,0.818491718854097
2,"Lansing",1,1767,1.49900860215054,1.21872438353141
3,"noLansing",1,1667,1.5094924415117,0.819928164367127
3,"Lansing",1,2072,1.50177480694981,1.17403213008253
4,"noLansing",1,1765,1.51229133144476,0.826041212464589
4,"Lansing",1,2257,1.5109290208241,1.18553378056757
5,"noLansing",1,1890,1.51448566137566,0.825363682539683
5,"Lansing",1,2511,1.52010011947431,1.20225880102788
6,"noLansing",1,1938,1.52330572755418,0.82894721878225
6,"Lansing",1,2671,1.52664724822164,1.20258605589929
7,"noLansing",1,2063,1.53048337372758,0.832459607367911
7,"Lansing",1,2723,1.52967701065002,1.22510434165626
8,"noLansing",1,2027,1.54766954612728,0.837332984706463
8,"Lansing",1,2769,1.53721170097508,1.25208903210979
9,"noLansing",1,2035,1.5636276019656,0.857113557739558
9,"Lansing",1,2880,1.54070182291667,1.26049801002778
10,"noLansing",1,2024,1.5777325444664,0.878763087944664
10,"Lansing",1,2942,1.5462083242692,1.28062052044528
11,"noLansing",1,2058,1.58764173955296,0.903171331389699
11,"Lansing",1,3017,1.55030376201525,1.30841291730858
12,"noLansing",1,2019,1.59144612679544,0.930421827637444
12,"Lansing",1,3118,1.56190010904426,1.34314474094933
13,"noLansing",1,2151,1.59633940492794,0.950892152487215
13,"Lansing",1,3231,1.57369002476014,1.39117162858867
14,"noLansing",1,2160,1.60225300462963,0.978449157407407
14,"Lansing",1,3250,1.57888964923077,1.41931484724062
15,"noLansing",1,2085,1.61503660431655,1.00917399520384
15,"Lansing",1,3417,1.60043389522973,1.44456995011999
16,"noLansing",1,2020,1.63323217326733,1.01723199009901
16,"Lansing",1,3667,1.61437685028634,1.44092002001909
17,"noLansing",1,2019,1.66478888063398,1.04496812778603
17,"Lansing",1,3752,1.63117087686567,1.46061075803571
18,"noLansing",1,2024,1.68361836956522,1.06332293478261
18,"Lansing",1,3778,1.63903037850715,1.48174158470619
19,"noLansing",1,2100,1.70319519047619,1.08061316190476
19,"Lansing",1,3840,1.65335487239583,1.50887315173958
20,"noLansing",1,2226,1.72196211590296,1.10362424079066
20,"Lansing",1,3993,1.6646917054846,1.52402060324568
21,"noLansing",1,2284,1.73752861646235,1.11249253064799
21,"Lansing",1,3839,1.68412352696015,1.55765270904402
22,"noLansing",1,2274,1.76752480211082,1.12392216358839
22,"Lansing",1,3871,1.70093231206407,1.57281482930767
23,"noLansing",1,2425,1.78379748453608,1.13275395876289
23,"Lansing",1,3974,1.71668163311525,1.60025727603523
24,"noLansing",1,2464,1.79864460227273,1.15468148538961
24,"Lansing",1,4145,1.73463704945718,1.62314014234017
25,"noLansing",1,2466,1.80820713706407,1.16538699918897
25,"Lansing",1,4130,1.7409488062954,1.64435280358111
26,"noLansing",1,2466,1.80820713706407,1.16538699918897
26,"Lansing",1,4130,1.7409488062954,1.64435280358111
0,"noLansing",2,500,1.5,0.82
0,"Lansing",2,500,1.5,1.3
1,"noLansing",2,1101,1.50027738419619,0.820675749318801
1,"Lansing",2,1161,1.50151946597761,1.30113471145564
2,"noLansing",2,1522,1.49951570302234,0.815408679369251
2,"Lansing",2,1841,1.50271613253666,1.22750007713199
3,"noLansing",2,1667,1.49470473905219,0.820483851229754
3,"Lansing",2,2025,1.50634311111111,1.17882748021728
4,"noLansing",2,1768,1.49815896493213,0.828120650452489
4,"Lansing",2,1974,1.51289174265451,1.18746250678825
5,"noLansing",2,1880,1.50510596808511,0.831295744680851
5,"Lansing",2,2154,1.52287845868152,1.176489239039
6,"noLansing",2,1955,1.50699594373402,0.8375653657289
6,"Lansing",2,2132,1.51707629924953,1.21074466310038
7,"noLansing",2,1906,1.51457060860441,0.849554690451207
7,"Lansing",2,2216,1.51973256768953,1.19026827520758
8,"noLansing",2,1934,1.51189760599793,0.856362631851086
8,"Lansing",2,2367,1.52853016476553,1.19755181821293
9,"noLansing",2,1943,1.52359430777149,0.877797982501287
9,"Lansing",2,2409,1.5371896014944,1.20665038762142
10,"noLansing",2,2059,1.53746066051481,0.886834424477902
10,"Lansing",2,2563,1.54451413187671,1.23318511158018
11,"noLansing",2,2064,1.55271729651163,0.900049481589147
11,"Lansing",2,2740,1.54719393430657,1.26655889224854
12,"noLansing",2,2181,1.58164867033471,0.9104617652453
12,"Lansing",2,2893,1.55408993086761,1.27439884324646
13,"noLansing",2,2171,1.60542499769691,0.927383519115615
13,"Lansing",2,2951,1.57050245001694,1.3160594494856
14,"noLansing",2,2217,1.63067823635544,0.947134663960307
14,"Lansing",2,3140,1.58380291719745,1.35024455920382
15,"noLansing",2,2339,1.65416041043181,0.981907811030355
15,"Lansing",2,3250,1.60552597846154,1.35043858748
16,"noLansing",2,2408,1.68519860465116,0.997803704318937
16,"Lansing",2,3290,1.61739314285714,1.38363662590578
17,"noLansing",2,2421,1.70364456836018,1.01401479140851
17,"Lansing",2,3377,1.6205163784424,1.42611953637637
18,"noLansing",2,2387,1.72734792626728,1.03715947633012
18,"Lansing",2,3497,1.64610024306548,1.44627148944324
19,"noLansing",2,2409,1.74181297633873,1.07055272727273
19,"Lansing",2,3569,1.66296827122443,1.47292715910199
20,"noLansing",2,2415,1.75460392546584,1.10600908488613
20,"Lansing",2,3631,1.6802032167447,1.48555227499311
21,"noLansing",2,2485,1.76199392354125,1.12064760160966
21,"Lansing",2,3779,1.68880740936756,1.52483101069331
22,"noLansing",2,2532,1.79256725513428,1.14472568325434
22,"Lansing",2,3798,1.69777143496577,1.547358935495
23,"noLansing",2,2617,1.81128435613298,1.16685785632404
23,"Lansing",2,3857,1.70634119782214,1.58036656195748
24,"noLansing",2,2673,1.82836120463898,1.18383450430228
24,"Lansing",2,3822,1.70895059392988,1.61000437305861
25,"noLansing",2,2748,1.85089203056769,1.20627580786026
25,"Lansing",2,4000,1.71973489,1.63719735024
26,"noLansing",2,2748,1.85089203056769,1.20627580786026
26,"Lansing",2,4000,1.71973489,1.63719735024
0,"noLansing",3,500,1.5,0.82
0,"Lansing",3,500,1.5,1.3
1,"noLansing",3,1097,1.50204339106655,0.817151577028259
1,"Lansing",3,1154,1.50353734835355,1.30187019064125
2,"noLansing",3,1551,1.49793874919407,0.820521863313991
2,"Lansing",3,1790,1.50734955307263,1.23113883664804
3,"noLansing",3,1637,1.49674801466097,0.823034563225412
3,"Lansing",3,2123,1.51057451719265,1.2033127908667
4,"noLansing",3,1722,1.49621219512195,0.830535180023229
4,"Lansing",3,2280,1.51204096491228,1.19198548000439
5,"noLansing",3,1782,1.50585781705948,0.836691593714927
5,"Lansing",3,2435,1.50927466119097,1.18752609409729
6,"noLansing",3,1806,1.51869717607973,0.849694772978959
6,"Lansing",3,2505,1.51574784431138,1.20290836816766
7,"noLansing",3,1856,1.52894709051724,0.874531384698276
7,"Lansing",3,2618,1.51569529411765,1.23904158239114
8,"noLansing",3,1876,1.53394434968017,0.899641759061834
8,"Lansing",3,2882,1.5258003296322,1.22673683063081
9,"noLansing",3,1922,1.54548834027055,0.91455638917794
9,"Lansing",3,2941,1.53833428425706,1.25587155197484
10,"noLansing",3,1971,1.54974615423643,0.92641200913242
10,"Lansing",3,2912,1.55039129807692,1.26584576377404
11,"noLansing",3,2092,1.56603044933078,0.95507086998088
11,"Lansing",3,2912,1.56894844436813,1.26127765254808
12,"noLansing",3,2190,1.57340940639269,0.973105401826484
12,"Lansing",3,2835,1.58315334391534,1.28719865093474
13,"noLansing",3,2231,1.58554942178395,0.992324540564769
13,"Lansing",3,2919,1.60197545049675,1.29091313582049
14,"noLansing",3,2303,1.60587025184542,1.02484040816327
14,"Lansing",3,2821,1.60540444168734,1.33284207760723
15,"noLansing",3,2514,1.61986465393795,1.0337649681782
15,"Lansing",3,2851,1.62106998947738,1.36107800298843
16,"noLansing",3,2586,1.63416204176334,1.0571339520495
16,"Lansing",3,2875,1.6333755826087,1.38858838632626
17,"noLansing",3,2594,1.65435168851195,1.08235554356207
17,"Lansing",3,3071,1.64192019863237,1.41864262123738
18,"noLansing",3,2567,1.6723507674328,1.11170492403584
18,"Lansing",3,3169,1.66027704638687,1.43355289081729
19,"noLansing",3,2491,1.69947391810518,1.12233049779205
19,"Lansing",3,3333,1.6702197239724,1.46679167515812
20,"noLansing",3,2526,1.73515090261283,1.13602762470309
20,"Lansing",3,3474,1.67692804548071,1.47066803608002
21,"noLansing",3,2595,1.76031257032755,1.14486591522158
21,"Lansing",3,3572,1.68504170492721,1.46606092968645
22,"noLansing",3,2787,1.77624069608898,1.15527983494797
22,"Lansing",3,3498,1.6891054974271,1.49321306637793
23,"noLansing",3,2887,1.79981828888119,1.17784180117769
23,"Lansing",3,3415,1.70636925915081,1.51738271922108
24,"noLansing",3,2929,1.81761108910891,1.20914733014681
24,"Lansing",3,3469,1.72869162871144,1.52288982773133
25,"noLansing",3,3064,1.83617760443864,1.23278705939948
25,"Lansing",3,3405,1.74485137151248,1.53331390052247
26,"noLansing",3,3045,1.83627286699507,1.23410082430213
26,"Lansing",3,3413,1.74703173747436,1.53088226961002
0,"noLansing",4,500,1.5,0.82
0,"Lansing",4,500,1.5,1.3
1,"noLansing",4,1042,1.49839683301344,0.821642840690979
1,"Lansing",4,1191,1.49866288832914,1.30341158690176
2,"noLansing",4,1477,1.49934895057549,0.825854637779282
2,"Lansing",4,1745,1.49642286532951,1.23546176583381
3,"noLansing",4,1743,1.49709650028686,0.831606075731497
3,"Lansing",4,2093,1.49287032967033,1.19464755514572
4,"noLansing",4,2096,1.49832609732824,0.834665205152672
4,"Lansing",4,2279,1.48961799034664,1.14352812643616
5,"noLansing",4,2136,1.50180355805243,0.838064035580524
5,"Lansing",4,2288,1.49170855332168,1.17134876114139
6,"noLansing",4,2054,1.50840744888023,0.84687553067186
6,"Lansing",4,2378,1.50022514718251,1.17611170773339
7,"noLansing",4,2037,1.5090258419244,0.857338792341679
7,"Lansing",4,2480,1.50355571370968,1.18171034803226
8,"noLansing",4,2136,1.51765627808989,0.869588539325843
8,"Lansing",4,2519,1.50199236204843,1.19952071901945
9,"noLansing",4,2120,1.52918374056604,0.877854141509434
9,"Lansing",4,2488,1.50309204983923,1.22862243288585
10,"noLansing",4,2148,1.54141545623836,0.885684445996276
10,"Lansing",4,2483,1.50284735803464,1.2730435873822
11,"noLansing",4,2159,1.55083545159796,0.900398689207967
11,"Lansing",4,2580,1.52619973255814,1.30724552462791
12,"noLansing",4,2068,1.56724932301741,0.915100913926499
12,"Lansing",4,2660,1.5445054924812,1.33195765801466
13,"noLansing",4,2117,1.5875882853094,0.930186802078413
13,"Lansing",4,2790,1.55923094265233,1.35920046392821
14,"noLansing",4,2043,1.60029811062163,0.944569703377386
14,"Lansing",4,2985,1.5763021038526,1.37227829867672
15,"noLansing",4,2031,1.6214827080256,0.966772928114229
15,"Lansing",4,3216,1.5932983550995,1.39928937926617
16,"noLansing",4,1947,1.65800143810991,0.984548320493066
16,"Lansing",4,3305,1.61225406354009,1.42921187073828
17,"noLansing",4,1989,1.68743847159377,0.999122921065862
17,"Lansing",4,3469,1.63655510810032,1.44023535803978
18,"noLansing",4,1965,1.71033312977099,1.01510963867684
18,"Lansing",4,3582,1.65287218872138,1.4478720934115
19,"noLansing",4,2106,1.72927329059829,1.02131527065527
19,"Lansing",4,3924,1.67489710244648,1.47101093591488
20,"noLansing",4,2054,1.731600593963,1.04042111002921
20,"Lansing",4,3960,1.69135518686869,1.49264039895202
21,"noLansing",4,2093,1.74950597228858,1.04270386048734
21,"Lansing",4,4213,1.71133805601709,1.53462081666983
22,"noLansing",4,2004,1.76589628742515,1.05803941616766
22,"Lansing",4,4494,1.73202945482866,1.57317787691589
23,"noLansing",4,1924,1.7817542047817,1.07770166320166
23,"Lansing",4,4705,1.75307509032944,1.59075095570032
24,"noLansing",4,1914,1.80950799373041,1.10444273772205
24,"Lansing",4,4768,1.76642636325503,1.61526972256711
25,"noLansing",4,2064,1.83388657945736,1.11968515503876
25,"Lansing",4,4823,1.79211579722165,1.61759449070475
26,"noLansing",4,2065,1.8333586440678,1.11809184503632
26,"Lansing",4,4809,1.79210756706176,1.61988471962341
0,"noLansing",5,500,1.5,0.82
0,"Lansing",5,500,1.5,1.3
1,"noLansing",5,1120,1.49630616071429,0.8203193125
1,"Lansing",5,1233,1.50029059205191,1.29984306569343
2,"noLansing",5,1465,1.49058013651877,0.825902737201365
2,"Lansing",5,1976,1.49962312753036,1.23024178881579
3,"noLansing",5,1628,1.48890675675676,0.83236101965602
3,"Lansing",5,2450,1.50093791836735,1.20148479734694
4,"noLansing",5,1719,1.48895328679465,0.831943624200116
4,"Lansing",5,2709,1.50434086378738,1.19664627872647
5,"noLansing",5,1701,1.49666155202822,0.8379389888301
5,"Lansing",5,2931,1.50983466393722,1.18912329989765
6,"noLansing",5,1644,1.49709239659367,0.850880626520681
6,"Lansing",5,2990,1.518381,1.16990628658027
7,"noLansing",5,1705,1.50208129032258,0.863949519061584
7,"Lansing",5,3020,1.5183937781457,1.18213039978457
8,"noLansing",5,1823,1.5100417443774,0.874034821722436
8,"Lansing",5,2942,1.52543015975527,1.18586977380843
9,"noLansing",5,1950,1.53135174358974,0.889740692307692
9,"Lansing",5,2924,1.53792481532148,1.20113348638851
10,"noLansing",5,1998,1.55199747247247,0.897102657657658
10,"Lansing",5,2971,1.55278901380007,1.19848312029283
11,"noLansing",5,1927,1.5645317540218,0.89964427088739
11,"Lansing",5,2941,1.56572106766406,1.2011257917273
12,"noLansing",5,1962,1.57408214576962,0.919551707441386
12,"Lansing",5,2991,1.56521763624206,1.24718002058843
13,"noLansing",5,1934,1.5872004033092,0.929251008273009
13,"Lansing",5,3058,1.57291142249836,1.24727500283519
14,"noLansing",5,1991,1.60351226519337,0.935261130085384
14,"Lansing",5,3085,1.57890665153971,1.26952619681361
15,"noLansing",5,2077,1.62249754935002,0.94578074145402
15,"Lansing",5,3175,1.58834912440945,1.32184636831811
16,"noLansing",5,2130,1.64149248826291,0.955930577464789
16,"Lansing",5,3252,1.59915785362854,1.35779682881734
17,"noLansing",5,2185,1.661984,0.97611223798627
