"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
130,"Lansing",1,35,2.20702571428571,2.66640857142857
131,"noLansing",1,857,2.53710560093349,1.91992263710618
131,"Lansing",1,38,2.19380526315789,2.65008684210526
132,"noLansing",1,900,2.52225688888889,1.92264144444444
132,"Lansing",1,48,2.15903958333333,2.58487708333333
133,"noLansing",1,887,2.53413742953777,1.92463923337091
133,"Lansing",1,40,2.16749,2.5744925
134,"noLansing",1,851,2.54713913043478,1.91994253819036
134,"Lansing",1,45,2.12552,2.54516666666667
135,"noLansing",1,895,2.53312234636872,1.92930882681564
135,"Lansing",1,39,2.16156666666667,2.54942051282051
136,"noLansing",1,916,2.53440753275109,1.93846277292576
136,"Lansing",1,28,2.17061071428571,2.55302857142857
137,"noLansing",1,909,2.54542585258526,1.95134653465347
137,"Lansing",1,26,2.16770384615385,2.5666
138,"noLansing",1,866,2.56438025404157,1.96345034642032
138,"Lansing",1,34,2.14516764705882,2.53882058823529
139,"noLansing",1,866,2.56438025404157,1.96345034642032
139,"Lansing",1,34,2.14516764705882,2.53882058823529
140,"noLansing",1,866,2.56438025404157,1.96345034642032
140,"Lansing",1,34,2.14516764705882,2.53882058823529
141,"noLansing",1,866,2.56438025404157,1.96345034642032
141,"Lansing",1,34,2.14516764705882,2.53882058823529
142,"noLansing",1,866,2.56438025404157,1.96345034642032
142,"Lansing",1,34,2.14516764705882,2.53882058823529
143,"noLansing",1,866,2.56438025404157,1.96345034642032
143,"Lansing",1,34,2.14516764705882,2.53882058823529
144,"noLansing",1,866,2.56438025404157,1.96345034642032
144,"Lansing",1,34,2.14516764705882,2.53882058823529
145,"noLansing",1,866,2.56438025404157,1.96345034642032
145,"Lansing",1,34,2.14516764705882,2.53882058823529
146,"noLansing",1,866,2.56438025404157,1.96345034642032
146,"Lansing",1,34,2.14516764705882,2.53882058823529
147,"noLansing",1,866,2.56438025404157,1.96345034642032
147,"Lansing",1,34,2.14516764705882,2.53882058823529
148,"noLansing",1,866,2.56438025404157,1.96345034642032
148,"Lansing",1,34,2.14516764705882,2.53882058823529
149,"noLansing",1,866,2.56438025404157,1.96345034642032
149,"Lansing",1,34,2.14516764705882,2.53882058823529
150,"noLansing",1,866,2.56438025404157,1.96345034642032
150,"Lansing",1,34,2.14516764705882,2.53882058823529
0,"noLansing",2,500,1.5,0.82
0,"Lansing",2,500,1.5,1.3
1,"noLansing",2,498,1.4940124497992,0.821773694779116
1,"Lansing",2,527,1.50442561669829,1.29949222011385
2,"noLansing",2,385,1.49457246753247,0.816769948051948
2,"Lansing",2,400,1.50249575,1.2058192533
3,"noLansing",2,277,1.49167220216606,0.814159133574007
3,"Lansing",2,345,1.4947947826087,1.1605632142029
4,"noLansing",2,223,1.50221614349776,0.824000134529148
4,"Lansing",2,291,1.48232302405498,1.17482943092784
5,"noLansing",2,194,1.49028041237113,0.833552371134021
5,"Lansing",2,248,1.47443467741935,1.19227144153226
6,"noLansing",2,199,1.49254170854271,0.853448994974874
6,"Lansing",2,255,1.48001529411765,1.19951929411765
7,"noLansing",2,226,1.49508938053097,0.858553982300885
7,"Lansing",2,232,1.48359310344828,1.23733811508621
8,"noLansing",2,236,1.50248940677966,0.850995042372881
8,"Lansing",2,223,1.48321614349776,1.21488635112108
9,"noLansing",2,250,1.5022028,0.8336828
9,"Lansing",2,233,1.48622188841202,1.25623142832618
10,"noLansing",2,217,1.50429585253456,0.833295437788018
10,"Lansing",2,233,1.48254248927039,1.20151746811588
11,"noLansing",2,209,1.51835598086124,0.854268277511962
11,"Lansing",2,212,1.49833537735849,1.26139265471698
12,"noLansing",2,235,1.52789234042553,0.896974255319149
12,"Lansing",2,218,1.51928944954128,1.30816367889908
13,"noLansing",2,263,1.55971482889734,0.916287148288973
13,"Lansing",2,237,1.50261139240506,1.26618725485232
14,"noLansing",2,275,1.58017381818182,0.9547188
14,"Lansing",2,270,1.52130333333333,1.26733023333333
15,"noLansing",2,282,1.58427978723404,0.955994787234043
15,"Lansing",2,241,1.54210995850622,1.25427167634855
16,"noLansing",2,277,1.58988303249097,0.959300974729242
16,"Lansing",2,236,1.57965593220339,1.24013198686441
17,"noLansing",2,253,1.58519565217391,0.959552015810277
17,"Lansing",2,235,1.57972127659574,1.28588824595745
18,"noLansing",2,282,1.58314219858156,0.96235109929078
18,"Lansing",2,249,1.58026787148594,1.3362598497992
19,"noLansing",2,282,1.58042269503546,1.01896085106383
19,"Lansing",2,251,1.58896374501992,1.36839923067729
20,"noLansing",2,310,1.59518451612903,1.02905274193548
20,"Lansing",2,277,1.6267155234657,1.36127386245487
21,"noLansing",2,337,1.61010326409496,1.0362696735905
21,"Lansing",2,244,1.62784754098361,1.31345670040984
22,"noLansing",2,331,1.60565377643505,1.03488894259819
22,"Lansing",2,235,1.6122629787234,1.25781137361702
23,"noLansing",2,322,1.59534409937888,1.03402357142857
23,"Lansing",2,200,1.592539,1.3099435465
24,"noLansing",2,340,1.60079382352941,1.06442844117647
24,"Lansing",2,171,1.63285380116959,1.37189240526316
25,"noLansing",2,351,1.62890313390313,1.05604866096866
25,"Lansing",2,190,1.65146315789474,1.36388708105263
26,"noLansing",2,327,1.650225382263,1.06076825688073
26,"Lansing",2,185,1.67405027027027,1.34566188918919
27,"noLansing",2,329,1.67491428571429,1.10661787234043
27,"Lansing",2,178,1.64168370786517,1.41095482191011
28,"noLansing",2,357,1.69391988795518,1.12752913165266
28,"Lansing",2,169,1.61205443786982,1.43495294970414
29,"noLansing",2,363,1.71258484848485,1.15395195592287
29,"Lansing",2,182,1.60937307692308,1.48184546978022
30,"noLansing",2,385,1.72262493506493,1.18261472727273
30,"Lansing",2,181,1.61418839779006,1.42860118342541
31,"noLansing",2,409,1.74288141809291,1.20786337408313
31,"Lansing",2,194,1.62410773195876,1.42397927061856
32,"noLansing",2,435,1.75279494252874,1.22159733333333
32,"Lansing",2,198,1.65293838383838,1.42455793434343
33,"noLansing",2,436,1.75120894495413,1.24444440366972
33,"Lansing",2,228,1.66803201754386,1.4696456754386
34,"noLansing",2,487,1.7747476386037,1.2573836550308
34,"Lansing",2,211,1.67751279620853,1.54399314886256
35,"noLansing",2,548,1.7691204379562,1.25567288321168
35,"Lansing",2,185,1.66559297297297,1.5937177027027
36,"noLansing",2,537,1.7760426443203,1.23796916201117
36,"Lansing",2,169,1.64832544378698,1.57347530769231
37,"noLansing",2,541,1.77803364140481,1.23773064695009
37,"Lansing",2,187,1.65595614973262,1.6530422459893
38,"noLansing",2,506,1.79563162055336,1.24674335968379
38,"Lansing",2,218,1.67947064220183,1.60792233440367
39,"noLansing",2,491,1.81945193482688,1.26452185336049
39,"Lansing",2,234,1.69055854700855,1.51904026880342
40,"noLansing",2,500,1.846779,1.28332806
40,"Lansing",2,227,1.69253568281938,1.59062964757709
41,"noLansing",2,527,1.84789734345351,1.29965690702087
41,"Lansing",2,190,1.67433842105263,1.58579847105263
42,"noLansing",2,499,1.88040420841683,1.29664016032064
42,"Lansing",2,181,1.66740331491713,1.67604917127072
43,"noLansing",2,508,1.90499350393701,1.29203236220472
43,"Lansing",2,191,1.66385235602094,1.72748848167539
44,"noLansing",2,497,1.92232193158954,1.28240442655936
44,"Lansing",2,180,1.66576166666667,1.78184888888889
45,"noLansing",2,534,1.92599101123596,1.30775479400749
45,"Lansing",2,182,1.66880164835165,1.78785274725275
46,"noLansing",2,561,1.92669001782531,1.30341677361854
46,"Lansing",2,174,1.6589775862069,1.82270344827586
47,"noLansing",2,610,1.94315180327869,1.32118991803279
47,"Lansing",2,180,1.67889277777778,1.84225708333333
48,"noLansing",2,607,1.94306507413509,1.32560161449753
48,"Lansing",2,148,1.70870878378378,1.79838766891892
49,"noLansing",2,632,1.94634477848101,1.35378006329114
49,"Lansing",2,137,1.71087226277372,1.71631780291971
50,"noLansing",2,628,1.94120031847134,1.35479579617834
50,"Lansing",2,139,1.74534820143885,1.71390638848921
51,"noLansing",2,606,1.94110346534653,1.36660632013201
51,"Lansing",2,131,1.74514122137405,1.66448222900763
52,"noLansing",2,634,1.95543454258675,1.35995746056782
52,"Lansing",2,100,1.702242,1.739062197
53,"noLansing",2,621,1.95807922705314,1.36341338164251
53,"Lansing",2,94,1.68181063829787,1.71787067021277
54,"noLansing",2,677,1.96694963072378,1.38567723781388
54,"Lansing",2,79,1.69209367088608,1.74654184810127
55,"noLansing",2,703,1.99216870554765,1.36905416785206
55,"Lansing",2,71,1.68063943661972,1.82128873239437
56,"noLansing",2,709,2.00534837799718,1.36765253878702
56,"Lansing",2,77,1.68226103896104,1.85900779220779
57,"noLansing",2,738,2.00854837398374,1.38730073170732
57,"Lansing",2,64,1.6686171875,1.8613703125
58,"noLansing",2,724,2.02084875690608,1.39243185082873
58,"Lansing",2,66,1.70272424242424,1.85320606060606
59,"noLansing",2,731,2.01350629274966,1.38918298221614
59,"Lansing",2,66,1.70780454545455,1.81975151515152
60,"noLansing",2,768,2.016859765625,1.4116187109375
60,"Lansing",2,79,1.72214810126582,1.82699746835443
61,"noLansing",2,733,2.02338117326057,1.42424257844475
61,"Lansing",2,113,1.73047610619469,1.79630796460177
62,"noLansing",2,696,2.02856853448276,1.40930261494253
62,"Lansing",2,130,1.74338923076923,1.78257856923077
63,"noLansing",2,714,2.0066268907563,1.44747173669468
63,"Lansing",2,142,1.76815352112676,1.78008028169014
64,"noLansing",2,695,2.00898805755396,1.46214279136691
64,"Lansing",2,147,1.80219319727891,1.74964084353741
65,"noLansing",2,706,2.01071954674221,1.4793690368272
65,"Lansing",2,115,1.82915913043478,1.78281647826087
