"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.819999992847443
0,"Lansing",1,500,1.5,1.29999995231628
1,"noLansing",1,59,1.5,0.819999992847443
1,"Lansing",1,86,1.5,1.29999995231628
2,"noLansing",1,50,1.5,0.819999992847443
2,"Lansing",1,54,1.5,1.17962958636107
3,"noLansing",1,34,1.5,0.819999992847443
3,"Lansing",1,42,1.5,1.02142853396279
4,"noLansing",1,24,1.5,0.819999992847443
4,"Lansing",1,27,1.5,1.10740736678795
5,"noLansing",1,22,1.5,0.819999992847443
5,"Lansing",1,37,1.5,1.15945941693074
6,"noLansing",1,15,1.5,0.819999992847443
6,"Lansing",1,41,1.5,1.04634142503506
7,"noLansing",1,8,1.5,0.819999992847443
7,"Lansing",1,29,1.5,1.29999995231628
8,"noLansing",1,2,1.5,0.819999992847443
8,"Lansing",1,32,1.5,0.853124968707561
9,"noLansing",1,1,1.5,0.819999992847443
9,"Lansing",1,15,1.5,0.779999971389771
10,"noLansing",1,1,1.5,0.819999992847443
10,"Lansing",1,6,1.5,0.649999976158142
11,"noLansing",1,0,NA,NA
11,"Lansing",1,7,1.5,0.185714278902326
12,"noLansing",1,0,NA,NA
12,"Lansing",1,6,1.5,0
13,"noLansing",1,0,NA,NA
13,"Lansing",1,2,1.5,0
14,"noLansing",1,0,NA,NA
14,"Lansing",1,1,1.5,0
15,"noLansing",1,0,NA,NA
15,"Lansing",1,0,NA,NA
16,"noLansing",1,0,NA,NA
16,"Lansing",1,0,NA,NA
17,"noLansing",1,0,NA,NA
17,"Lansing",1,0,NA,NA
18,"noLansing",1,0,NA,NA
18,"Lansing",1,0,NA,NA
19,"noLansing",1,0,NA,NA
19,"Lansing",1,0,NA,NA
20,"noLansing",1,0,NA,NA
20,"Lansing",1,0,NA,NA
21,"noLansing",1,0,NA,NA
21,"Lansing",1,0,NA,NA
22,"noLansing",1,0,NA,NA
22,"Lansing",1,0,NA,NA
23,"noLansing",1,0,NA,NA
23,"Lansing",1,0,NA,NA
24,"noLansing",1,0,NA,NA
24,"Lansing",1,0,NA,NA
25,"noLansing",1,0,NA,NA
25,"Lansing",1,0,NA,NA
26,"noLansing",1,0,NA,NA
26,"Lansing",1,0,NA,NA
27,"noLansing",1,0,NA,NA
27,"Lansing",1,0,NA,NA
28,"noLansing",1,0,NA,NA
28,"Lansing",1,0,NA,NA
29,"noLansing",1,0,NA,NA
29,"Lansing",1,0,NA,NA
30,"noLansing",1,0,NA,NA
30,"Lansing",1,0,NA,NA
31,"noLansing",1,0,NA,NA
31,"Lansing",1,0,NA,NA
32,"noLansing",1,0,NA,NA
32,"Lansing",1,0,NA,NA
33,"noLansing",1,0,NA,NA
33,"Lansing",1,0,NA,NA
34,"noLansing",1,0,NA,NA
34,"Lansing",1,0,NA,NA
35,"noLansing",1,0,NA,NA
35,"Lansing",1,0,NA,NA
36,"noLansing",1,0,NA,NA
36,"Lansing",1,0,NA,NA
37,"noLansing",1,0,NA,NA
37,"Lansing",1,0,NA,NA
38,"noLansing",1,0,NA,NA
38,"Lansing",1,0,NA,NA
39,"noLansing",1,0,NA,NA
39,"Lansing",1,0,NA,NA
40,"noLansing",1,0,NA,NA
40,"Lansing",1,0,NA,NA
41,"noLansing",1,0,NA,NA
41,"Lansing",1,0,NA,NA
42,"noLansing",1,0,NA,NA
42,"Lansing",1,0,NA,NA
43,"noLansing",1,0,NA,NA
43,"Lansing",1,0,NA,NA
44,"noLansing",1,0,NA,NA
44,"Lansing",1,0,NA,NA
45,"noLansing",1,0,NA,NA
45,"Lansing",1,0,NA,NA
46,"noLansing",1,0,NA,NA
46,"Lansing",1,0,NA,NA
47,"noLansing",1,0,NA,NA
47,"Lansing",1,0,NA,NA
48,"noLansing",1,0,NA,NA
48,"Lansing",1,0,NA,NA
49,"noLansing",1,0,NA,NA
