"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.819999992847443
0,"Lansing",1,500,1.5,1.29999995231628
1,"noLansing",1,1040,1.5,0.819999992847443
1,"Lansing",1,1157,1.5,1.29999995231628
2,"noLansing",1,1385,1.5,0.819999992847443
2,"Lansing",1,1741,1.5,1.23727738138316
3,"noLansing",1,1560,1.5,0.819999992847443
3,"Lansing",1,2227,1.5,1.1937583756115
4,"noLansing",1,1520,1.5,0.819999992847443
4,"Lansing",1,2418,1.5,1.17204296776241
5,"noLansing",1,1668,1.5,0.819999992847443
5,"Lansing",1,2465,1.5,1.18503038249683
6,"noLansing",1,1711,1.5,0.819999992847443
6,"Lansing",1,2609,1.5,1.16496737773686
7,"noLansing",1,1766,1.5,0.819999992847443
7,"Lansing",1,2743,1.5,1.15355446005754
8,"noLansing",1,1841,1.5,0.819999992847443
8,"Lansing",1,2793,1.5,1.16269240275191
9,"noLansing",1,1822,1.5,0.819999992847443
9,"Lansing",1,2834,1.5,1.15366968245429
10,"noLansing",1,1832,1.5,0.819999992847443
10,"Lansing",1,2717,1.5,1.15167459890515
11,"noLansing",1,1814,1.5,0.819999992847443
11,"Lansing",1,2756,1.5,1.14386788257148
12,"noLansing",1,1799,1.5,0.819999992847443
12,"Lansing",1,2663,1.5,1.1310927110465
13,"noLansing",1,1820,1.5,0.819999992847443
13,"Lansing",1,2713,1.5,1.13468480909877
14,"noLansing",1,1831,1.5,0.819999992847443
14,"Lansing",1,2602,1.5,1.13312832123495
15,"noLansing",1,1839,1.5,0.819999992847443
15,"Lansing",1,2657,1.5,1.14930368385057
16,"noLansing",1,1821,1.5,0.819999992847443
16,"Lansing",1,2626,1.5,1.1470296608975
17,"noLansing",1,1795,1.5,0.819999992847443
17,"Lansing",1,2731,1.5,1.13339431946725
18,"noLansing",1,1905,1.5,0.819999992847443
18,"Lansing",1,2712,1.5,1.14181411741054
19,"noLansing",1,1722,1.5,0.819999992847443
19,"Lansing",1,2760,1.5,1.12054343715958
20,"noLansing",1,1864,1.5,0.819999992847443
20,"Lansing",1,2702,1.5,1.1195780492376
21,"noLansing",1,1969,1.5,0.819999992847443
21,"Lansing",1,2645,1.5,1.14321356865319
22,"noLansing",1,2052,1.5,0.819999992847443
22,"Lansing",1,2601,1.5,1.16405224488452
23,"noLansing",1,2170,1.5,0.819999992847443
23,"Lansing",1,2539,1.5,1.16636466773395
24,"noLansing",1,2204,1.5,0.819999992847443
24,"Lansing",1,2425,1.5,1.16919583340281
25,"noLansing",1,2023,1.5,0.819999992847443
25,"Lansing",1,2492,1.5,1.15184586465263
26,"noLansing",1,1973,1.5,0.819999992847443
26,"Lansing",1,2534,1.5,1.14044983977865
27,"noLansing",1,2010,1.5,0.819999992847443
27,"Lansing",1,2629,1.5,1.12643586587162
28,"noLansing",1,1929,1.5,0.819999992847443
28,"Lansing",1,2711,1.5,1.14798962959985
29,"noLansing",1,2021,1.5,0.819999992847443
29,"Lansing",1,2617,1.5,1.1474970920331
30,"noLansing",1,2022,1.5,0.819999992847443
30,"Lansing",1,2616,1.5,1.14843267958828
0,"noLansing",2,500,1.5,0.819999992847443
0,"Lansing",2,500,1.5,1.29999995231628
1,"noLansing",2,1100,1.5,0.819999992847443
1,"Lansing",2,1161,1.5,1.29999995231628
2,"noLansing",2,1494,1.5,0.819999992847443
2,"Lansing",2,1786,1.5,1.2424971548734
3,"noLansing",2,1660,1.5,0.819999992847443
3,"Lansing",2,2093,1.5,1.21180119778742
4,"noLansing",2,1799,1.5,0.819999992847443
4,"Lansing",2,2365,1.5,1.1966595755571
5,"noLansing",2,1819,1.5,0.819999992847443
5,"Lansing",2,2556,1.5,1.17030512139271
6,"noLansing",2,1921,1.5,0.819999992847443
6,"Lansing",2,2588,1.5,1.15432762381098
7,"noLansing",2,1983,1.5,0.819999992847443
